ID,Name,ModelName,Value,AnimationCount,Level,Hp,Speed,Atk
1,land_star,land_star0,14,2,1,30,80,1
2,land_pink,land_pink0,14,2,1,30,80,1
3,land_nima,land_nima0,14,2,1,30,80,1
4,land_boss_star,land_boss_star0,14,2,2,300,80,2
5,land_boss_pink,land_boss_pink0,14,2,2,300,80,2
6,land_boss_nima,land_boss_nima0,14,2,2,350,80,2
7,fly_yellow,fly_yellow0,14,2,1,90,110,1
8,fly_blue,fly_blue0,14,2,1,120,100,1
9,fly_boss_yellow,fly_boss_yellow0,14,2,2,270,110,2
10,fly_boss_blue,fly_boss_blue0,14,2,2,270,110,2
11,fat_green,fat_green0,14,2,1,300,60,1
12,fat_boss_green,fat_boss_green0,168,2,2,600,60,2
13,boss_big,boss_big0,999,2,3,1500,30,3
14,big_oldboss,big_oldboss0,168,2,3,1500,60,3
15,fat_oldboss,fat_oldboss0,168,2,3,1800,60,3
16,fly_oldboss,fly_oldboss0,168,2,3,1200,90,3
17,land_oldboss,land_oldboss0,168,2,3,1500,80,3
18,hlb,hlb10,0,0,0,10,0,0









